id,level,message,created_at
488,WARN,模型下载源失败 https://hf-mirror.com/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>,2026-09-08 01:50:19
487,INFO,尝试下载模型：https://hf-mirror.com/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:50:17
486,WARN,模型下载源失败 https://modelscope.cn/models/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/master/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：HTTP Error 404: Not Found,2026-09-08 01:50:17
485,INFO,尝试下载模型：https://modelscope.cn/models/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/master/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:50:13
484,WARN,模型下载源失败 https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>,2026-09-08 01:50:13
483,INFO,AI 引擎路线已切换为：rule,2026-09-08 01:49:56
482,INFO,尝试下载模型：https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:49:52
481,INFO,配置已更新：['ai_enabled'],2026-09-08 01:49:52
480,INFO,本轮随机选中 UID=5514656753 转发：已排程转发（预计 02:18:06 执行）：纯转发,2026-09-08 01:49:44
479,WARN,模型下载源失败 https://hf-mirror.com/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>,2026-09-08 01:49:41
478,INFO,监控刷新完成：87 在线 / 0 异常,2026-09-08 01:49:41
477,INFO,尝试下载模型：https://hf-mirror.com/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:49:07
476,WARN,模型下载源失败 https://modelscope.cn/models/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/master/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：HTTP Error 404: Not Found,2026-09-08 01:49:07
475,INFO,尝试下载模型：https://modelscope.cn/models/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/master/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:49:06
474,WARN,模型下载源失败 https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>,2026-09-08 01:49:06
473,INFO,尝试下载模型：https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:48:45
472,WARN,模型下载源失败 https://hf-mirror.com/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：<urlopen error _ssl.c:1015: The handshake operation timed out>,2026-09-08 01:48:35
471,INFO,调度器已启动,2026-09-08 01:48:26
470,INFO,配置已更新：['ai_enabled'],2026-09-08 01:48:22
469,INFO,尝试下载模型：https://hf-mirror.com/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:47:58
468,WARN,模型下载源失败 https://modelscope.cn/models/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/master/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：HTTP Error 404: Not Found,2026-09-08 01:47:58
467,INFO,尝试下载模型：https://modelscope.cn/models/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/master/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:47:57
